"Contour","Résultat","Description des séries","Déviation standard (BQML)","Max (BQML)","Min (BQML)","Moyenne (BQML)","Volume (ml)"
"","Résultat 6","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_6i5s_G4_000_000_TEP2.v 6i 5s","127","4578","3821","4179","14"
"T foie","Résultat 1","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_3i5s_G0_000_000_TEP.v 3i 5s","754","7700","4720","6297","0,17"
"","Résultat 1","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_3i5s_G2_000_000_TEP.v 3i 5s","638","7300","4789","6131","0,17"
"","Résultat 1","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_3i5s_G4_000_000_TEP.v 3i 5s","379","6369","4867","5685","0,17"
"","Résultat 1","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_4i5s_G0_000_000_TEP.v 4i 5s","980","8534","4694","6689","0,17"
"","Résultat 1","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_4i5s_G2_V2_000_000_TEP.v 4i 5s","823","7995","4792","6481","0,17"
"","Résultat 1","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_4i5s_G4_000_000_TEP.v 4i 5s","478","6790","4912","5931","0,17"
"","Résultat 1","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_5i5s_G0_000_000_TEP2.v 5i 5s","1181","9279","4637","6987","0,17"
"","Résultat 1","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_5i5s_G2_000_000_TEP2.v 5i 5s","985","8563","4763","6745","0,17"
"","Résultat 1","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_5i5s_G4_000_000_TEP2.v 5i 5s","561","7116","4925","6110","0,17"
"","Résultat 1","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_6i5s_G0_000_000_TEP2.v 6i 5s","1359","9923","4568","7220","0,17"
"","Résultat 1","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_6i5s_G2_000_000_TEP2.v 6i 5s","1126","9039","4720","6949","0,17"
"","Résultat 1","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_6i5s_G4_000_000_TEP2.v 6i 5s","631","7374","4924","6243","0,17"
"T1","Résultat 2","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_3i5s_G0_000_000_TEP.v 3i 5s","2944","15072","4095","9009","0,11"
"","Résultat 2","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_3i5s_G2_000_000_TEP.v 3i 5s","2375","12995","4138","8330","0,11"
"","Résultat 2","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_3i5s_G4_000_000_TEP.v 3i 5s","1245","8801","4120","6582","0,11"
"","Résultat 2","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_4i5s_G0_000_000_TEP.v 4i 5s","3608","17592","4197","9980","0,11"
"","Résultat 2","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_4i5s_G2_V2_000_000_TEP.v 4i 5s","2882","14943","4261","9176","0,11"
"","Résultat 2","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_4i5s_G4_000_000_TEP.v 4i 5s","1471","9773","4288","7129","0,11"
"","Résultat 2","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_5i5s_G0_000_000_TEP2.v 5i 5s","4042","19189","4226","10532","0,11"
"","Résultat 2","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_5i5s_G2_000_000_TEP2.v 5i 5s","3208","16145","4303","9651","0,11"
"","Résultat 2","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_5i5s_G4_000_000_TEP2.v 5i 5s","1610","10332","4359","7422","0,11"
"","Résultat 2","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_6i5s_G0_000_000_TEP2.v 6i 5s","4340","20264","4237","10880","0,11"
"","Résultat 2","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_6i5s_G2_000_000_TEP2.v 6i 5s","3428","16939","4321","9947","0,11"
"","Résultat 2","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_6i5s_G4_000_000_TEP2.v 6i 5s","1702","10684","4396","7598","0,11"
"T2","Résultat 3","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_3i5s_G0_000_000_TEP.v 3i 5s","1157","9026","4370","6555","0,07"
"","Résultat 3","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_3i5s_G2_000_000_TEP.v 3i 5s","893","7875","4269","6018","0,07"
"","Résultat 3","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_3i5s_G4_000_000_TEP.v 3i 5s","421","5549","3844","4721","0,07"
"","Résultat 3","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_4i5s_G0_000_000_TEP.v 4i 5s","1534","10757","4579","7423","0,07"
"","Résultat 3","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_4i5s_G2_V2_000_000_TEP.v 4i 5s","1163","9193","4492","6747","0,07"
"","Résultat 3","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_4i5s_G4_000_000_TEP.v 4i 5s","524","6171","4047","5142","0,07"
"","Résultat 3","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_5i5s_G0_000_000_TEP2.v 5i 5s","1845","12109","4671","8043","0,07"
"","Résultat 3","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_5i5s_G2_000_000_TEP2.v 5i 5s","1380","10191","4605","7259","0,07"
"","Résultat 3","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_5i5s_G4_000_000_TEP2.v 5i 5s","601","6603","4164","5422","0,07"
"","Résultat 3","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_6i5s_G0_000_000_TEP2.v 6i 5s","2097","13176","4705","8498","0,07"
"","Résultat 3","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_6i5s_G2_000_000_TEP2.v 6i 5s","1553","10961","4661","7632","0,07"
"","Résultat 3","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_6i5s_G4_000_000_TEP2.v 6i 5s","660","6914","4237","5617","0,07"
"T3","Résultat 4","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_3i5s_G0_000_000_TEP.v 3i 5s","612","6064","3681","4922","0,03"
"","Résultat 4","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_3i5s_G2_000_000_TEP.v 3i 5s","462","5362","3550","4499","0,03"
"","Résultat 4","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_3i5s_G4_000_000_TEP.v 3i 5s","204","3912","3086","3539","0,03"
"","Résultat 4","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_4i5s_G0_000_000_TEP.v 4i 5s","825","7131","3929","5578","0,03"
"","Résultat 4","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_4i5s_G2_V2_000_000_TEP.v 4i 5s","609","6183","3794","5035","0,03"
"","Résultat 4","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_4i5s_G4_000_000_TEP.v 4i 5s","254","4305","3285","3836","0,03"
"","Résultat 4","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_5i5s_G0_000_000_TEP2.v 5i 5s","1011","7968","4048","6056","0,03"
"","Résultat 4","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_5i5s_G2_000_000_TEP2.v 5i 5s","734","6804","3922","5414","0,03"
"","Résultat 4","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_5i5s_G4_000_000_TEP2.v 5i 5s","293","4570","3390","4027","0,03"
"","Résultat 4","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_6i5s_G0_000_000_TEP2.v 6i 5s","1175","8645","4101","6421","0,03"
"","Résultat 4","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_6i5s_G2_000_000_TEP2.v 6i 5s","841","7293","3990","5697","0,03"
"","Résultat 4","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_6i5s_G4_000_000_TEP2.v 6i 5s","325","4759","3451","4158","0,03"
"T4","Résultat 5","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_3i5s_G0_000_000_TEP.v 3i 5s","126","3428","3093","3228","0,01"
"","Résultat 5","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_3i5s_G2_000_000_TEP.v 3i 5s","115","3135","2828","2954","0,01"
"","Résultat 5","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_3i5s_G4_000_000_TEP.v 3i 5s","92","2526","2272","2387","0,01"
"","Résultat 5","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_4i5s_G0_000_000_TEP.v 4i 5s","137","3887","3555","3675","0,01"
"","Résultat 5","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_4i5s_G2_V2_000_000_TEP.v 4i 5s","124","3496","3191","3307","0,01"
"","Résultat 5","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_4i5s_G4_000_000_TEP.v 4i 5s","95","2714","2458","2571","0,01"
"","Résultat 5","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_5i5s_G0_000_000_TEP2.v 5i 5s","144","4251","3898","4041","0,01"
"","Résultat 5","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_5i5s_G2_000_000_TEP2.v 5i 5s","128","3773","3468","3584","0,01"
"","Résultat 5","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_5i5s_G4_000_000_TEP2.v 5i 5s","94","2842","2596","2700","0,01"
"","Résultat 5","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_6i5s_G0_000_000_TEP2.v 6i 5s","148","4552","4177","4352","0,01"
"","Résultat 5","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_6i5s_G2_000_000_TEP2.v 6i 5s","131","3995","3671","3814","0,01"
"","Résultat 5","FANT_ANTHROPO_MEDSURE_1_QUADRA_20241011_090516-LM-00-PSFTOF_6i5s_G4_000_000_TEP2.v 6i 5s","92","2934","2704","2798","0,01"
